lat,long,c_label,gridsect_number,fixed_substrate,isotype,sub_pop,env_par,value,filter_20m,kalopa,volcano_1,volcano_2,maui,kauai,geo_cluster,mean_value_20m,value_thinned
21.13927631,-156.9740559,C-0736,NA,Flower,ECA738,E,altitude,669,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,995.6,669
20.670022,-156.339189,C-1142,NA,Fruit,ECA740,F,altitude,1778.986667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1417.6133158571429,1778.986667
22.123283,-159.656428,C-1175,NA,Flower,ECA701,F,altitude,1163.896104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1417.6133158571429,1163.896104
20.6762,-156.338322,C-1329,NA,Fruit,ECA741,F,altitude,1724.617647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1417.6133158571429,1724.617647
20.741871,-156.32317,C-1480,NA,Flower,ECA743,E,altitude,1043,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,995.6,1043
19.92253451,-155.7052173,C-1489,NA,Leaf litter,ECA742,F,altitude,1170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1417.6133158571429,1170
19.719231,-155.949572,C-2677,NA,Leaf litter,ECA744,H,altitude,992.3670886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,890.74065575,992.3670886
19.424272,-155.221661,C-2805,NA,Leaf litter,ECA723,H,altitude,1114.484375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,volcano_2,1118.7421875,1114.484375
20.039858,-155.441608,C-2824,3,Fruit,ECA760,E,altitude,670.8930041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,kalopa,663.5472094444444,663.5472094444444
19.700464,-155.955839,C-2865,NA,Leaf litter,ECA745,H,altitude,789.2913386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,890.74065575,789.2913386
19.439144,-155.303825,C-3007,NA,Leaf litter,ECA724,F,altitude,1206.792793,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1417.6133158571429,1206.792793
19.423869,-155.222483,C-3058,1,Leaf litter,ECA730,H,altitude,1121.234234,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,volcano_1,1120.4043510000001,1120.4043510000001
19.423864,-155.222478,C-3097,1,Leaf litter,ECA712,E,altitude,1119.876923,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,volcano_1,1122.9384615,1122.9384615
20.038831,-155.438922,C-3133,NA,Leaf litter,ECA703,A,altitude,649.9944751,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,kalopa,649.9944751,649.9944751
20.038831,-155.438922,C-3133,NA,Leaf litter,ECA705,E,altitude,649.9944751,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,kalopa,653.1624918,649.9944751
