snp_index,position,Diversity_Hawaiian-population,Diversity_non-Hawaiian_population,CHROM,Fst
25,6313,6.61E-04,2.07E-04,I,0.342267792
30,6434,7.94E-04,2.52E-04,I,0.332173172
36,7995,9.65E-04,2.61E-04,I,0.322553623
40,8241,0.001072941,2.80E-04,I,0.324644593
51,10347,0.00105368,2.92E-04,I,0.304115236
63,11124,9.20E-04,3.30E-04,I,0.292231042
66,11513,9.29E-04,4.11E-04,I,0.285730904
70,11828,9.20E-04,3.26E-04,I,0.287585965
77,12921,8.90E-04,3.49E-04,I,0.262089001
88,13587,7.83E-04,3.04E-04,I,0.22419092
93,13922,8.47E-04,3.04E-04,I,0.236543438
98,14258,7.13E-04,2.58E-04,I,0.228270281
108,15472,6.45E-04,2.62E-04,I,0.224716766
114,17605,6.12E-04,2.99E-04,I,0.200688404
122,18314,5.16E-04,2.41E-04,I,0.216043663
128,18896,4.71E-04,2.06E-04,I,0.223522832
136,19763,5.87E-04,1.79E-04,I,0.230044995
141,21741,6.82E-04,2.66E-04,I,0.240281036
150,22764,6.93E-04,2.99E-04,I,0.249850839
162,25865,7.02E-04,2.99E-04,I,0.24835001
169,26518,6.60E-04,3.07E-04,I,0.231482042
174,27024,7.32E-04,4.41E-04,I,0.215320254
178,27491,6.29E-04,4.30E-04,I,0.210784349
186,28502,6.15E-04,4.66E-04,I,0.210493615
189,28736,6.45E-04,4.76E-04,I,0.205223648
190,28868,6.41E-04,4.62E-04,I,0.207437714
195,29180,5.16E-04,4.08E-04,I,0.202628378
200,29831,4.21E-04,3.21E-04,I,0.180864659
204,30213,2.92E-04,2.57E-04,I,0.140090939
210,30671,2.37E-04,2.51E-04,I,0.153005466
213,32041,1.64E-04,2.38E-04,I,0.147345521
221,32927,1.39E-04,1.42E-04,I,0.184003033
232,41044,4.06E-04,2.31E-04,I,0.228420525
241,41669,4.46E-04,1.45E-04,I,0.249652194
254,42150,7.10E-04,2.84E-04,I,0.25159482
259,42551,8.21E-04,3.90E-04,I,0.259779753
266,43315,9.31E-04,4.25E-04,I,0.247714249
272,43567,0.001085417,4.77E-04,I,0.255116781
275,43806,0.001141669,5.62E-04,I,0.246110175
277,43920,0.001176689,5.66E-04,I,0.242618698
277,43920,0.001176689,5.66E-04,I,0.242618698
280,43967,0.001128974,5.28E-04,I,0.243580895
290,44811,8.62E-04,4.37E-04,I,0.239143881
294,45163,7.61E-04,4.32E-04,I,0.233284541
305,45957,4.67E-04,2.82E-04,I,0.230379501
310,46354,3.56E-04,1.75E-04,I,0.200388825
317,46978,2.45E-04,1.41E-04,I,0.224146865
323,47909,9.13E-05,8.86E-05,I,0.113375088
334,57285,2.20E-04,1.05E-04,I,0.200791574
337,57344,1.85E-04,1.03E-04,I,0.216756023
342,57495,2.48E-04,1.48E-04,I,0.195154498
348,59440,3.81E-04,1.89E-04,I,0.21806022
354,59755,4.47E-04,2.05E-04,I,0.200062622
365,60512,6.91E-04,3.09E-04,I,0.208012653
370,61433,8.05E-04,3.24E-04,I,0.205986691
378,61766,9.34E-04,3.85E-04,I,0.223369988
381,62031,9.65E-04,4.29E-04,I,0.22080613
381,62031,9.70E-04,4.29E-04,I,0.22026409
398,62740,9.56E-04,5.05E-04,I,0.198138737
403,63061,0.001110369,5.65E-04,I,0.215747108
417,64166,0.001179316,5.73E-04,I,0.215274916
429,65187,0.001281094,6.74E-04,I,0.222503489
441,67379,0.001373023,7.21E-04,I,0.236527784
456,68353,0.001220027,7.01E-04,I,0.237468357
463,69122,0.001111245,6.89E-04,I,0.239952927
472,69639,0.001067469,6.32E-04,I,0.231008951
478,70153,0.001108618,5.92E-04,I,0.237131543
485,70902,0.001343475,6.45E-04,I,0.24221903
496,71354,0.001262052,4.78E-04,I,0.261580222
506,72615,0.001201423,4.64E-04,I,0.237036955
515,74821,0.001078632,4.10E-04,I,0.244335768
528,76325,0.001075349,2.84E-04,I,0.226095871
537,77111,9.96E-04,2.28E-04,I,0.207866944
548,78554,0.001041423,2.44E-04,I,0.198051878
555,80132,0.001148892,3.29E-04,I,0.202179234
558,80163,0.001141231,3.27E-04,I,0.206672269
561,80308,0.00106922,3.23E-04,I,0.200342417
568,81373,8.30E-04,2.70E-04,I,0.180212814
576,82313,9.06E-04,2.67E-04,I,0.186977019
588,83074,8.94E-04,2.45E-04,I,0.210198747
590,83173,9.16E-04,2.48E-04,I,0.206958276
600,87209,7.74E-04,2.87E-04,I,0.224980967
607,87477,7.53E-04,3.75E-04,I,0.228490029
618,88318,6.89E-04,3.66E-04,I,0.246300683
627,89215,6.80E-04,3.28E-04,I,0.257876928
628,89511,6.02E-04,3.26E-04,I,0.252515754
630,90534,6.45E-04,3.27E-04,I,0.251272511
634,90937,6.77E-04,3.50E-04,I,0.241956686
641,91996,5.64E-04,3.44E-04,I,0.25214163
651,93247,5.45E-04,3.64E-04,I,0.253444171
658,95388,6.83E-04,3.90E-04,I,0.254085264
664,96615,6.50E-04,3.40E-04,I,0.244814845
668,96942,5.93E-04,2.45E-04,I,0.248857987
674,98384,5.61E-04,1.53E-04,I,0.239406506
682,99311,5.64E-04,1.87E-04,I,0.251371205
682,99311,5.64E-04,1.87E-04,I,0.251371205
691,100180,7.81E-04,2.77E-04,I,0.253512746
697,102798,7.75E-04,2.56E-04,I,0.258290979
702,103570,8.65E-04,3.04E-04,I,0.25610377
711,105242,9.76E-04,5.64E-04,I,0.25584089
717,105408,8.07E-04,5.36E-04,I,0.259900386
720,105652,7.50E-04,5.31E-04,I,0.261774358
720,105652,7.50E-04,5.31E-04,I,0.261774358
722,105946,7.08E-04,5.31E-04,I,0.266584444
730,107680,7.33E-04,4.96E-04,I,0.236421158
733,107937,7.86E-04,4.99E-04,I,0.234522168
749,113046,6.50E-04,4.69E-04,I,0.204316778
753,113766,6.62E-04,5.14E-04,I,0.219309565
762,115012,5.84E-04,5.07E-04,I,0.205261378
773,115737,4.61E-04,2.44E-04,I,0.15906332
778,116216,6.06E-04,2.89E-04,I,0.199983201
781,116720,6.96E-04,3.76E-04,I,0.215873573
786,117596,7.41E-04,5.17E-04,I,0.208721066
794,118149,8.44E-04,6.58E-04,I,0.212304663
803,119486,8.00E-04,6.26E-04,I,0.230295555
811,120461,8.62E-04,6.69E-04,I,0.228913794
824,121702,9.58E-04,6.27E-04,I,0.253869466
834,122566,0.001010123,6.77E-04,I,0.231663491
844,123411,0.001052148,6.38E-04,I,0.233891818
853,124196,0.001080602,6.07E-04,I,0.234694398
864,125107,0.001077538,5.69E-04,I,0.225188431
872,125780,0.00100093,5.47E-04,I,0.214072774
883,126782,0.00105171,4.12E-04,I,0.225654002
892,127307,9.62E-04,3.12E-04,I,0.223961688
901,128162,9.32E-04,3.00E-04,I,0.215728055
916,129807,0.001001368,3.57E-04,I,0.224149047
923,130317,8.23E-04,3.38E-04,I,0.20867921
937,131552,9.42E-04,3.43E-04,I,0.233273976
946,133164,9.59E-04,4.70E-04,I,0.231538874
949,133561,8.81E-04,4.59E-04,I,0.236190143
962,134948,7.90E-04,4.55E-04,I,0.226080129
972,135455,9.52E-04,4.43E-04,I,0.231753204
983,136733,9.23E-04,5.41E-04,I,0.217086742
991,137729,9.96E-04,5.27E-04,I,0.222239911
998,139393,9.71E-04,5.82E-04,I,0.219802233
1014,140839,8.94E-04,5.49E-04,I,0.210105562
1018,141239,8.83E-04,5.49E-04,I,0.206207842
1031,142471,8.28E-04,5.23E-04,I,0.206899862
1036,142793,7.25E-04,4.37E-04,I,0.199522876
1042,143776,8.72E-04,4.98E-04,I,0.207988915
1049,144255,8.39E-04,4.96E-04,I,0.21193754
1059,145389,6.95E-04,4.85E-04,I,0.203764575
1065,146273,6.37E-04,3.81E-04,I,0.212697655
1073,146963,6.15E-04,3.56E-04,I,0.219463284
1083,148526,7.53E-04,3.52E-04,I,0.246561364
1097,150276,7.92E-04,3.45E-04,I,0.244373263
1103,151494,7.98E-04,3.95E-04,I,0.244151699
1114,153705,7.21E-04,3.37E-04,I,0.226626373
1120,153999,7.71E-04,2.96E-04,I,0.236952997
1131,154584,7.50E-04,2.85E-04,I,0.252766397
1138,155058,8.00E-04,3.31E-04,I,0.236191008
1146,156353,8.45E-04,3.34E-04,I,0.248902182
1151,156504,9.01E-04,4.01E-04,I,0.242858915
1155,157099,8.84E-04,4.84E-04,I,0.241098727
1162,158156,7.48E-04,4.73E-04,I,0.235047812
1175,159595,6.40E-04,4.26E-04,I,0.236142342
1184,160036,8.38E-04,4.36E-04,I,0.259499834
1199,162004,9.93E-04,4.35E-04,I,0.282281145
1204,164093,9.42E-04,4.32E-04,I,0.278089808
1209,164747,8.16E-04,3.82E-04,I,0.268794859
1219,165724,8.59E-04,4.25E-04,I,0.283917479
1229,166131,8.17E-04,4.27E-04,I,0.273308606
1237,166660,7.97E-04,3.85E-04,I,0.272884889
1246,167847,9.86E-04,4.40E-04,I,0.264497258
1250,169033,0.00106156,3.98E-04,I,0.253227142
1258,170088,0.001052367,3.82E-04,I,0.256336434
1271,171226,9.98E-04,4.94E-04,I,0.242096705
1289,172994,9.71E-04,6.22E-04,I,0.222861992
1296,173644,0.001229439,6.78E-04,I,0.23233731
1303,174602,0.001435404,8.14E-04,I,0.235998119
1309,175459,0.001338878,7.22E-04,I,0.233130507
1320,176469,0.001402353,6.84E-04,I,0.259865618
1329,176643,0.001412421,7.07E-04,I,0.261355339
1336,177241,0.001176252,5.67E-04,I,0.263083626
1340,177374,0.001067469,5.66E-04,I,0.267393922
1343,177685,0.001040109,5.65E-04,I,0.270639956
1350,178386,8.68E-04,3.93E-04,I,0.275198772
1358,178724,6.64E-04,2.49E-04,I,0.29410083
1365,180066,3.83E-04,1.92E-04,I,0.309859877
1375,181115,3.10E-04,6.01E-05,I,0.377177528
1382,181553,3.54E-04,6.27E-05,I,0.351324991
1394,189191,3.14E-04,7.56E-05,I,0.2155829
1404,190396,3.62E-04,1.24E-04,I,0.217075389
1409,190634,5.24E-04,1.38E-04,I,0.233439768
1413,190961,5.99E-04,1.49E-04,I,0.225417575
1420,191432,6.91E-04,1.60E-04,I,0.215922838
1423,191653,7.30E-04,1.60E-04,I,0.214140745
1424,191770,7.79E-04,1.71E-04,I,0.225121753
1427,192133,8.84E-04,1.78E-04,I,0.252227846
1431,192291,7.56E-04,1.75E-04,I,0.228243656
1436,192739,6.98E-04,1.72E-04,I,0.239068396
1444,193931,6.39E-04,1.50E-04,I,0.255858674
1449,194290,5.35E-04,5.38E-05,I,0.27524047
1454,194492,3.73E-04,4.04E-05,I,0.275156648
1458,194990,2.99E-04,2.86E-05,I,0.300755507
1465,196847,2.06E-04,1.84E-05,I,0.356097222
1468,197284,1.59E-04,1.76E-05,I,0.395906383
1469,197883,1.10E-04,6.83E-06,I,0.413597503
1472,198017,4.60E-06,0,I,0.011764706
1476,221905,7.22E-05,4.36E-05,I,0.289026378
1481,222020,2.30E-04,9.15E-05,I,0.291894311
1482,222276,2.39E-04,1.04E-04,I,0.280685025
1482,222276,2.39E-04,1.04E-04,I,0.280685025
1482,222276,2.39E-04,1.04E-04,I,0.280685025
1483,222462,2.39E-04,1.07E-04,I,0.278708144
1485,222782,2.94E-04,1.51E-04,I,0.230652045
1486,222875,2.99E-04,1.52E-04,I,0.228574359
1487,222878,3.04E-04,1.53E-04,I,0.226535483
1488,222902,3.08E-04,1.54E-04,I,0.224534338
1492,226353,2.36E-04,1.10E-04,I,0.200234845
1497,227536,7.79E-05,6.20E-05,I,0.007464347
1498,227548,6.89E-05,5.08E-05,I,-6.42E-04
1498,227548,6.89E-05,5.08E-05,I,-6.42E-04
1499,228816,7.81E-05,5.08E-05,I,2.52E-04
1502,229180,8.73E-05,4.83E-05,I,9.51E-04
1507,235996,5.06E-05,5.14E-06,I,0.010885424
1508,236138,4.60E-05,4.28E-06,I,0.010952507
1511,237126,1.04E-04,1.67E-05,I,0.221454502
1516,239263,1.89E-04,6.12E-05,I,0.249069076
1523,240585,3.37E-04,6.71E-05,I,0.24570259
