isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,latitude,longitude,island,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
No isotype,NA,C-2812,S-06319,Yes,Very Few (1-3),19.4239,-155.222514,Big Island,Rural garden,Partially Obstructed,yes,1,A,3,17,68,94,18.5,1118.70566,2017-08-14,07:57:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2812.thumb.jpg,Leaf litter
No isotype,NA,C-2813,NA,Tracks,NA,19.423789,-155.22245,Big Island,Rural garden,Partially Obstructed,yes,1,B,3,17.2,78,94,18.5,1117.311688,2017-08-14,07:59:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2813.thumb.jpg,Leaf litter
No isotype,NA,C-2816,NA,No,NA,19.423864,-155.222478,Big Island,Rural garden,Partially Obstructed,yes,1,C,3,16.7,71.5,94,18.5,1119.423197,2017-08-14,08:01:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2816.thumb.jpg,Leaf litter
No isotype,NA,C-2817,NA,Tracks,NA,19.4239,-155.222383,Big Island,Rural garden,Partially Obstructed,yes,1,D,3,17,68.5,94,18.5,1118.594203,2017-08-14,08:03:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2817.thumb.jpg,Leaf litter
No isotype,NA,C-2818,NA,No,NA,19.423881,-155.222547,Big Island,Rural garden,Partially Obstructed,yes,1,E,3,17.1,70,94,18.5,1119.067568,2017-08-14,08:05:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2818.thumb.jpg,Leaf litter
No isotype,NA,C-2820,NA,No,NA,19.42388613,-155.222485,Big Island,Rural garden,Partially Obstructed,yes,1,F,3,17.6,70.5,94,18.5,1126,2017-08-14,08:08:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2820.thumb.jpg,Leaf litter
No isotype,NA,C-2824,S-07418,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
No isotype,NA,C-2824,S-07419,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
ECA760,ECA779,C-2824,S-07420,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
ECA760,ECA780,C-2824,S-07421,Yes,Few (4-10),20.039858,-155.441608,Big Island,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit
