c_label,collection_type,island,species_id,pcr_positive,worms_on_sample,longitude,latitude,multiple_type
C-0003,No Nematode,Oahu,NA,NA,No,-157.724325,21.306158,no
C-0005,No Nematode,Oahu,NA,NA,No,-157.724275,21.307294,no
C-0010,No Nematode,Oahu,NA,NA,No,-157.722608,21.308633,no
C-0011,No Nematode,Oahu,NA,NA,No,-157.722578,21.307575,no
C-0013,No Nematode,Oahu,NA,NA,No,-157.721008,21.309486,no
C-0017,No Nematode,Oahu,NA,NA,No,-157.722581,21.314208,no
C-0018,No Nematode,Oahu,NA,NA,No,-157.723625,21.318233,no
C-0019,No Nematode,Oahu,NA,NA,No,-157.723114,21.320464,no
C-0020,No Nematode,Oahu,NA,NA,No,-157.723381,21.315164,no
C-0023,No Nematode,Oahu,NA,NA,No,-157.721069,21.311078,no
C-0024,No Nematode,Oahu,NA,NA,No,-157.781353,21.364092,no
C-0031,No Nematode,Oahu,NA,NA,No,-157.80604400000001,21.385858,no
C-0033,No Nematode,Oahu,NA,NA,No,-157.806431,21.385447,no
C-0035,No Nematode,Oahu,NA,NA,No,-157.803261,21.386431,no
C-0042,No Nematode,Oahu,NA,NA,No,-157.856792,21.315672,no
C-0044,No Nematode,Oahu,NA,NA,No,-157.80075,21.333839,no
C-0054,No Nematode,Oahu,NA,NA,No,-157.808464,21.353181,no
C-0060,No Nematode,Oahu,NA,NA,No,-157.799472,21.341519,no
C-0064,No Nematode,Oahu,NA,NA,No,-157.806275,21.350156,no
C-0067,No Nematode,Oahu,NA,NA,No,-157.805486,21.3487,no
C-0069,No Nematode,Oahu,NA,NA,No,-157.806331,21.350806,no
C-0074,No Nematode,Oahu,NA,NA,No,-157.8101,21.354156,no
C-0079,No Nematode,Oahu,NA,NA,No,-157.780628,21.362875,no
C-0082,No Nematode,Oahu,NA,NA,No,-158.017478,21.502681,no
C-0083,No Nematode,Oahu,NA,NA,No,-158.016658,21.503153,no
C-0086,No Nematode,Oahu,NA,NA,No,-158.017994,21.503111,no
C-0091,No Nematode,Oahu,NA,NA,No,-158.017917,21.503139,no
C-0099,No Nematode,Oahu,NA,NA,No,-157.857072,21.315656,no
C-0100,No Nematode,Oahu,NA,NA,No,-158.017933,21.503017,no
C-0101,No Nematode,Kauai,NA,NA,No,-159.617039,22.152778,no
C-0102,No Nematode,Kauai,NA,NA,No,-159.617561,22.154833,no
C-0103,No Nematode,Kauai,NA,NA,No,-159.617533,22.154844,no
C-0104,No Nematode,Kauai,NA,NA,No,-159.593858,22.195653,no
C-0105,No Nematode,Kauai,NA,NA,No,-159.594075,22.188428,no
C-0108,No Nematode,Kauai,NA,NA,No,-159.594275,22.191953,no
C-0111,No Nematode,Kauai,NA,NA,No,-159.594789,22.198514,no
C-0115,No Nematode,Kauai,NA,NA,No,-159.597183,22.207175,no
C-0116,No Nematode,Kauai,NA,NA,No,-159.597225,22.207206,no
C-0118,No Nematode,Kauai,NA,NA,No,-159.595936,22.211186,no
C-0120,No Nematode,Kauai,NA,NA,No,-159.587769,22.215311,no
C-0121,No Nematode,Kauai,NA,NA,No,-159.587106,22.217619,no
C-0126,No Nematode,Kauai,NA,NA,No,-159.664444,22.121964,no
C-0127,No Nematode,Kauai,NA,NA,No,-159.664386,22.121817,no
C-0128,No Nematode,Kauai,NA,NA,No,-159.664467,22.121947,no
C-0130,No Nematode,Kauai,NA,NA,No,-159.615089,22.151486,no
C-0131,No Nematode,Kauai,NA,NA,No,-159.622742,22.149989,no
C-0132,No Nematode,Kauai,NA,NA,No,-159.6372,22.150097,no
C-0133,No Nematode,Kauai,NA,NA,No,-159.619542,22.153286,no
C-0134,No Nematode,Kauai,NA,NA,No,-159.615233,22.151994,no
C-0135,No Nematode,Kauai,NA,NA,No,-159.622492,22.150256,no
C-0136,No Nematode,Kauai,NA,NA,No,-159.616522,22.147131,no
C-0137,No Nematode,Kauai,NA,NA,No,-159.616339,22.148314,no
C-0140,No Nematode,Kauai,NA,NA,No,-159.613314,22.146942,no
C-0141,No Nematode,Kauai,NA,NA,No,-159.609069,22.147194,no
C-0142,No Nematode,Kauai,NA,NA,No,-159.608128,22.147297,no
C-0144,No Nematode,Kauai,NA,NA,No,-159.615575,22.149286,no
C-0146,No Nematode,Kauai,NA,NA,No,-159.621833,22.151181,no
C-0148,No Nematode,Kauai,NA,NA,No,-159.627419,22.148386,no
C-0150,No Nematode,Kauai,NA,NA,No,-159.664386,22.121875,no
C-0153,No Nematode,Kauai,NA,NA,No,-159.600086,22.152175,no
C-0155,No Nematode,Kauai,NA,NA,No,-159.646003,22.145592,no
C-0159,No Nematode,Kauai,NA,NA,No,-159.6728785,22.02581977,no
C-0160,No Nematode,Kauai,NA,NA,No,-159.601736,22.150972,no
C-0161,No Nematode,Kauai,NA,NA,No,-159.604289,22.148664,no
C-0166,No Nematode,Kauai,NA,NA,No,-159.604775,22.148064,no
C-0167,No Nematode,Kauai,NA,NA,No,-159.608361,22.147378,no
C-0168,No Nematode,Kauai,NA,NA,No,-159.609392,22.1471,no
C-0174,No Nematode,Kauai,NA,NA,No,-159.615767,22.149047,no
C-0175,No Nematode,Kauai,NA,NA,No,-159.6152487,22.14965518,no
C-0176,No Nematode,Kauai,NA,NA,No,-159.593711,22.195997,no
C-0177,No Nematode,Kauai,NA,NA,No,-159.594025,22.188419,no
C-0179,No Nematode,Kauai,NA,NA,No,-159.628947,22.148514,no
C-0183,No Nematode,Kauai,NA,NA,No,-159.588044,22.216108,no
C-0184,No Nematode,Kauai,NA,NA,No,-159.589864,22.214086000000002,no
C-0187,No Nematode,Kauai,NA,NA,No,-159.592897,22.211747,no
C-0193,No Nematode,Kauai,NA,NA,No,-159.63105,22.147853,no
C-0194,No Nematode,Kauai,NA,NA,No,-159.593669,22.1959,no
C-0196,No Nematode,Kauai,NA,NA,No,-159.594958,22.200444,no
C-0197,No Nematode,Kauai,NA,NA,No,-159.595942,22.203128,no
C-0200,No Nematode,Kauai,NA,NA,No,-159.584811,22.219217,no
C-0201,No Nematode,Kauai,NA,NA,No,-159.584769,22.219175,no
C-0203,No Nematode,Kauai,NA,NA,No,-159.587789,22.215442,no
C-0205,No Nematode,Kauai,NA,NA,No,-159.592808,22.211811,no
C-0206,No Nematode,Kauai,NA,NA,No,-159.596422,22.210017,no
