collection_category,fixed_substrate,isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,males_observed,latitude,longitude,island,substrate,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb
C. elegans,Fruit/nut/veg,ECA760,ECA779,C-2824,S-07420,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg
C. elegans,Fruit/nut/veg,ECA760,ECA780,C-2824,S-07421,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg
C. elegans,Fruit/nut/veg,ECA760,ECA808,C-2824,S-07422,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg
C. elegans,Fruit/nut/veg,ECA778,ECA781,C-2824,S-07423,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg
C. elegans,Leaf litter,ECA760,ECA760,C-2828,S-07315,Yes,Some (11-25),no,20.039869,-155.441619,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg
C. elegans,Leaf litter,ECA760,ECA769,C-2828,S-07372,Yes,Some (11-25),no,20.039869,-155.441619,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg
C. elegans,Leaf litter,ECA760,ECA739,C-2828,S-07375,Yes,Some (11-25),no,20.039869,-155.441619,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,F,3,21.2,67.5,84.2,22.6,670.8197674,2017-08-17,14:57:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA763,C-2840,S-07355,Yes,Proliferating (25+),no,20.039878,-155.441608,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA764,C-2840,S-07357,Yes,Proliferating (25+),no,20.039878,-155.441608,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg
C. elegans,Leaf litter,ECA778,ECA765,C-2840,S-07358,Yes,Proliferating (25+),no,20.039878,-155.441608,Big Island,Leaf litter,Wild forest,Partially Obstructed,yes,3,C,3,20.7,70,82.7,22.6,670.6117647,2017-08-17,14:53:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.thumb.jpg
