isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,latitude,longitude,island,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
NA,NA,C-0001,S-05010,Yes,Some (11-25),21.304203,-157.724406,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,27.8,21,60.5,30.8,100.6421053,2017-08-02,09:32:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0001.thumb.jpg,Fruit
NA,NA,C-0001,S-05020,Yes,Some (11-25),21.304203,-157.724406,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,27.8,21,60.5,30.8,100.6421053,2017-08-02,09:32:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0001.thumb.jpg,Fruit
NA,NA,C-0002,S-05025,Yes,Very Few (1-3),21.305489,-157.724256,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.7,NA,67.7,28.4,91.00446429,2017-08-02,09:44:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0002.thumb.jpg,Leaf litter
NA,NA,C-0003,NA,No,NA,21.306158,-157.724325,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25.1,NA,69.6,28.1,81.52747253,2017-08-02,09:49:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0003.thumb.jpg,Invertebrate
NA,NA,C-0004,S-05039,Yes,Some (11-25),21.306319,-157.724203,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.5,55.5,71.9,27.4,94.88109756,2017-08-02,09:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0004.thumb.jpg,Fruit
NA,NA,C-0004,S-05042,Yes,Some (11-25),21.306319,-157.724203,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.5,55.5,71.9,27.4,94.88109756,2017-08-02,09:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0004.thumb.jpg,Fruit
NA,NA,C-0004,S-05048,Yes,Some (11-25),21.306319,-157.724203,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,24.5,55.5,71.9,27.4,94.88109756,2017-08-02,09:58:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0004.thumb.jpg,Fruit
NA,NA,C-0005,NA,No,NA,21.307294,-157.724275,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,27.1,35.5,66.5,29.5,120.5344828,2017-08-02,10:08:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0005.thumb.jpg,Leaf litter
NA,NA,C-0006,S-05001,Yes,Some (11-25),21.306356,-157.723378,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25,37,65.1,29.5,144.2327869,2017-08-02,10:21:00,0,Unknown,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0006.thumb.jpg,Leaf litter
NA,NA,C-0006,S-05006,Yes,Some (11-25),21.306356,-157.723378,Oahu,Wild forest,Partially Obstructed,no,NA,NA,NA,25,37,65.1,29.5,144.2327869,2017-08-02,10:21:00,NA,NA,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0006.thumb.jpg,Leaf litter
