isotype,strain,c_label,s_label,worms_on_sample,approximate_number_of_worms,males_observed,latitude,longitude,island,substrate,landscape,sky_view,gridsect,gridsect_number,gridsect_direction,gridsect_radius,substrate_temperature,substrate_moisture,ambient_humidity,ambient_temperature,altitude,date,time,pcr_positive,species_id,photo_url_thumb,fixed_substrate
ECA760,ECA779,C-2824,S-07420,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit/nut/veg
ECA760,ECA780,C-2824,S-07421,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit/nut/veg
ECA760,ECA808,C-2824,S-07422,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit/nut/veg
ECA778,ECA781,C-2824,S-07423,Yes,Few (4-10),no,20.039858,-155.441608,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,yes,3,E,2,20.6,NA,83.1,22.6,670.8930041,2017-08-17,14:56:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2824.thumb.jpg,Fruit/nut/veg
ECA778,ECA756,C-2830,S-07273,Yes,Proliferating (25+),no,20.039822,-155.441533,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.2,NA,81.3,22.6,670.543379,2017-08-17,15:01:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.thumb.jpg,Fruit/nut/veg
ECA778,ECA757,C-2830,S-07274,Yes,Proliferating (25+),no,20.039822,-155.441533,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.2,NA,81.3,22.6,670.543379,2017-08-17,15:01:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.thumb.jpg,Fruit/nut/veg
ECA812,ECA762,C-2830,S-07329,Yes,Proliferating (25+),no,20.039822,-155.441533,Big Island,Fruit/nut/vegetable,Wild forest,Partially Obstructed,no,NA,NA,NA,20.2,NA,81.3,22.6,670.543379,2017-08-17,15:01:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.thumb.jpg,Fruit/nut/veg
ECA760,ECA749,C-2836,S-07228,Yes,Few (4-10),no,20.039875,-155.441608,Big Island,Rotting flower,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,80.5,22.6,670.7331461,2017-08-17,14:59:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.thumb.jpg,Flower
ECA812,ECA782,C-2836,S-07425,Yes,Few (4-10),no,20.039875,-155.441608,Big Island,Rotting flower,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,80.5,22.6,670.7331461,2017-08-17,14:59:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.thumb.jpg,Flower
ECA812,ECA786,C-2836,S-07436,Yes,Few (4-10),no,20.039875,-155.441608,Big Island,Rotting flower,Wild forest,Partially Obstructed,no,NA,NA,NA,20.1,NA,80.5,22.6,670.7331461,2017-08-17,14:59:00,1,C. elegans,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.thumb.jpg,Flower
